,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,genre,kind
7,mois,month
8,frère,brother
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,arrivé,come
16,devrait,should
17,bébé,baby
18,longtemps,long time
19,heures,hours
20,revoir,meet again
21,aucune,any
22,parle,speak
23,compris,understood
24,étaient,were
25,attention,Warning
26,voici,here is
27,pourrais,could
28,affaire,case
29,donner,give
30,type,type
31,leurs,their
32,donné,given
33,corps,body
34,endroit,place
35,yeux,eyes
36,façon,way
37,trouve,find
38,premier,first
39,perdu,lost
40,main,hand
41,première,first
42,côté,side
43,pouvoir,power
44,vieux,old
45,sois,be
46,tiens,here
47,matin,morning
48,tellement,so much
49,point,point
50,venu,came
51,venez,come
52,devant,in front of
53,vers,towards
54,minutes,minutes
55,demandé,request
56,chambre,bedroom
57,mis,placed
58,belle,beautiful
59,aujourd'hui,today
60,mari,husband
61,cause,cause
62,espère,hope
63,eau,water
64,attendez,Wait
65,parti,left
66,boulot,job
67,arrêter,Stop
68,dirait,would say
69,terre,Earth
70,compte,account
71,donne,given
72,loin,far
73,fin,end
74,croire,believe
75,chérie,sweetheart
76,gros,large
77,aura,will have
78,filles,girls
79,bureau,office
